Why are you not satisfied with the team selection process?,Satisfied with the process,Not satisfied with support,Why are you satisfied with the team selection support provided by the Jobs tool?,What could make team selection better for you and other campers?,"What, if anything, would you like to tell the Hiring Hub and Mission control teams that you haven’t had the chance to share?",Q13: How can the Jobs tool better support your team selection process?
"Some teams with open positions matching my stream, when I expressed my interest after sitting with their team and working on a task, they rejected my candidacy. This happened with multiple teams. It was a waste of my time as bootcamper which I could have used to spend with teams who are actually looking to hire.",Feel like I'm on a supportive team that I can enjoy working with,,I can see the diffs and tasks in a team.,,"I like the flexibility of reaching out to any team and having any team reach out to me, would hate to lose that, but having visibility through dashboards sounds like a great way to filter",
Team I initially chose (assistant reasoning team) told me the lost the head count to an external hire after being specifically told the head count was allotted for me.,"Flexibility, able to talk to teams, teams are friendly",,"I ended up on a good team.  Also, this is a rough question.  It isn't easy to know how I should be answering this.",,I never knew that I'd join the team and position I joined. Neither did many of my friends. I think the freedom in choosing the team is the greatest asset of current program.,
Team selection process added uncertainty to hiring process and since I already knew about the research one team is doing I decided to ask for pre-allocation before signing the contract. During bootcamp I realized that it would have been better if I followed the regular process. After sitting with the team for a week I discovered that our work styles differ a little. It took me the last few months to align that.,Found a good team.  Got extra time to find a team when first choice filled up.  Had plenty of time to acclimate to the company and team.,,I felt like the jobs tool was good in the initial reach-out process but there is not much need for it after talking to the hiring manager. ,,I received 50+ reachouts and I know many others do as well. That is a waste of camper and managers' time. Recommendation and ranking is a must have ,Total
The team selection tool didn't reflect the teams actually interested in bootcampers,Found a team that I liked joining. ,,"I really like the team page description, ability to read diffs, wiki etc. I liked the reachouts page too.",,I think it's really great that FB invests the resources into allowing bootcampers to find a team they would match well with and I'm well aware that many other companies simply have no such thing. I'd suggest inserting a segment into NHO talking about how to evaluate a team and some heuristics for knowing if a team is a good fit for a bootcamper's skills and personality. I know of peers who go into team selection with no clue what to look out for and end up choosing a team based on trivial factors.,8
"The way team selection happens, it's so overwhelming that I found it very hectic and felt lot of pressure while going through it.",Found a team that satisfied the majority of my criteria,,I really only used the reachout tool... everything else (logistics etc) was done elsewhere ie workchat,,"I think that what the tool did was not made very clear during bootcamp. I was unsure what ""accept/reject"" for a team would do, and I didn't know if I should reach out to the manager or if they got a notification. I think having more transparency about what can be see in the whole process would be useful.",6
There was not place to find which teams are hiring. We had to ping managers around and find if they had headcount,"Found an awesome team to join, easy to find teams in tool",,"I think it worked fine, but it was misleading at first, it released the reach outs a little bit later than scheduled which caused a little bit of confusion",,"I think the experience may be very different based on office size. I think it is important to not optimize for one setting at the expense of others, for example if filtering by skills was enforced globally it might make finding teams in smaller offices harder.",2
"Time is too short! First, though we have 2 weeks, we want to speak to probably 5 managers or more bc I think many of us don't really know what the teams are doing. Second, after we talk to the manager, we will need to talk to PM/EM/DS/DE or let's say at least 2 other people in the team. That will triple the number(let's say you've narrow down to 3 teams already, then you'll meet 9 people). Third, Wed. usually cannot have meetings so we have 8 days in total. Fourth, we want to sit with the team for at least 1 day, this takes time and comes in order. Fifth, I think FB didn't tell the bootcampers how intense/little time they have to during team selection, so many of them are not prepared to speed up the process. Sixth, we sometime need to do task with the team so it requires more time. In general, I will say most bootcampers will consider: choosing the right team is their most important task during bootcamp so either we should get more time(Analytics track), or we need to be warned to be quick before the team selection.  ",Freedom to pick what I want to work on,,I was able to find teams I liked,,"I think the hardest part is the scheduling and figuring out how to fit all the teams you want to try together. If the jobs tool could help with logistics more, that'd be great.",1
Too many conversations to be made in short period of time; difficult to schedule; pushing from managers - supposed to be positive but in fact it feels negative.,Gave me enough time to go through different teams and spend time with some of the teams before finalizing team.,,I was able to see all the teams with head counts and sort them based on my interests and skills,,"I think there are several groups of people (new grads, new to high tech, etc.) that don't fully take advantage of the job finding process.  Those people could use better tooling or maybe more limited choices.",1
"When accepting an offer from Facebook, a big component is understanding what team we might join. I had expected to join a particular team from discussions before joining, but when I arrived I was told that team I intended to join no longer had headcount. The team selection process has too much chance involved - this is especially important for senior candidates.",Gave me opportunity to find a team that was a good match,,I was able to use it for what I needed,,I was preallocated so i didn't to through team selection,1
,Generally had the resouces available in my mentor and bootcamp program organizers to narrow down my list of teams in consideration,,It allowed me to browse the available options and facilitated reaching out to managers,,"If possible, provide like filter things in the profile. For example, I only want to join a team using C++ and really don't consider the teams using other languages. In that case, I want some teams can filter me out when they do reach outs :) ",
,Get to see what's available at FB.,,"It allowed me to have a central location for all positions, respond quickly to ones I was not interested in.",,"It is important for people to ask how tasks are assigned within teams, since it has a large effect on team culture.",
,Get to try out tons of different teams and learn what you want to do,,It did everything that I needed it to do.,,It'd be helpful if teams updated the Jobs tool more often.,
,given chances of experiencing multiple teams,,It does the job,,It's sometimes hard to understand what a team does based on its team page.,
,Given time to explore widely varying teams. Teams were friendly to sit down with.,,It gives you a lot of data but you need to filter a lot first too.,,"Managers being upfront on whether they are evaluating you for the team will be helpful. If they are looking for a specific skill set or in general efficiency in getting the task done, they should be really open about it. Being told it's not a fit AFTER a week spent with the team is a week wasted when there are 20+ reachouts. ",
,Giving people the autonomy to choose their own team made the experience great,,It got the job done for the most part,,More transparency towards headcount and intention of hire. Mandatory requirement for teams to post roadmap.,
,Good communication process,,"It lists out details and tasks related to the team, even though tasks aren't much useful since they are random bug fixes. ",,no,
,"Good selection of teams, opportunity to sit with a team for a few days ",,"It makes a lot of things simple (e.g. filtering by theme / pillar / IC levels + keeping track of everything). Unfortunately some teams don't make the effort of updating their presence on the tool, so networking is still necessary in some situations.",,"Nothing more, thank you",
,got a chance to work with the team and learn about the culture and also about the product a little.,,It offered a way to organize what felt like an overwhelming amount of teams and reach-outs.,,org chart is a useful tool during team selection to see potential team members.,
,got chance to explore different teams,,"It provided the ability to keep teams in the queue or dismiss teams I wasn't interested in, which was useful.",,please improve this question - I don't know what these teams are responsible for. ,
,"got to meet many different teams and people, and got to learn different charters and different processes.",,"It provides the ability to send/receive and track requests with relative ease.  The link between email notifications and the tool isn't so hot, though - not clear which to use to respond at times.",,Please keep smaller offices like boston in mind too. Over here there is basically a few teams in each vertical (so restriction to vertical doesn't help) and there aren't too many team hiring at the same time either.,
,"Got to sit in with different teams, learnt more about how Facebook works",,"It serves as a wiki for difference teams, but it heavily out-of-date!",,Pulse scores of the manager.,
,Happy with the team I ended up joining,,It was easy to navigate and gave me all of the information I needed.,,"Reachouts hit email, which makes it less clear whether to respond on email or in the reachouts tool.",
,I am happy with my team selection  ,,It was handy and easy to use.,,Receiving a reachout should create an intern notification instead of an email.,
,"I appreciate the opportunities to explore different teams, make some connections and then select the team that I think fit me most.",,"It was really great to get to see all the info about the team and look at all the team members. I think it helped get a sense of general interest, and helped me weed out some teams right away.",,Reducing false positives (spam) will help my bootcamp experience a ton.  I'd rather have the outreaches from bootcamper end be unlimited but the incoming from hiring managers have a cap,
,I believe it enabled me to join the right team.,,It was user friendly.,,Some teams are also open to E3 campers even though current opening only shows E4/E5. That needs to be shared better,
,I can talk to multiple team managers and sit with teams to get first-hand experience working with the team.,,It worked as expected,,Teams definitely need to update their headcount on the tool to reflect open/filled positions,
,"I did receive quite a few reach-outs, and therefore I have some space to make a choice. What's more, some managers/engineers I have talked to are really helpful and inspiring, even if I finally didn't join them, they still provide lots of advices. As a new grad engineer, bootcamp is a perfect change to explore and balance between personal interests and company initiatives. Overall the experience is good, while some reach-outs is not at all personalised, and seem to be a randomised message to everybody, which is a little disappointing.",,"It's clear to see all the reach outs. I don't find it hard to use, but nothing has surprised me. ",,Thanks for all your hard work!,
,I ended up on a fantastic team with great people,,It's the only tool right? Haha,,The information of which teams were available was extremely helpful. The reachouts feature was entirely useless for me. ,
,I ended up on a good team and got to explore lots of options.,,"Jobs tool is cool, would be nice to have an alternative way of organizing other than denying because you typically keep most options open until you start to really narrow it down",,"The only thing that didn't go well in the team selection process, is that not all teams were ready for boot-campers in term of a bootcamp task. This caused some decision making that prevented a smooth team selection process",
,I ended up on a great team,,Jobs tool is easy to use and works well. ,,"The team selection process could benefit from more supportive tools for bootcampers (e.g. evaluation tooling instead of spreadsheets), which could also provide feedback to the teams as well. Would like to see available a simple, step by step, guided process.",
,"I ended up on a great team that I love, however it was through contacting people directly rather than going through the tool",,Jobs tool is pretty complete in terms of managing various phases of the team selection process. The problems are more on the people dimension.,,This is a great tool and keep up the good work. ,
,I enjoyed doing tasks on several teams and getting to know different parts of the company when I first joined.,,"Jobs tool itself is great, tracks all the relevant information; just more teams should keep it up-to-date :)",,"To have enough open positions for all levels. This means that when someone joins at X date, by the end of week3 can be enough teams for his/her level, otherwise it would be better to move the start date. For example, open positions for lower levels such as IC3 were harder to find during my team selection time. I did not have enough team to choose from, the amount was very limited and none of those matched my preferences.",
,"I enjoyed sitting with teams and getting to learn about the various tools and products Facebook has to offer, but there was always a bit of pressure to choose quickly because the team may run out of headcount. I am not sure what a good solution to that problem is, but it made the Team Selection process feel a bit competitive.",,Learning about the team members and their tenure. ,,"To mitigate the issue of managing 20+ reachouts, there could be a 'categorization' tool - making it easy to move reachouts into different buckets - ""actively engaged with"" ""thinking about"" ""maybe later"" ""not interested"" etc",
,I enjoyed the my top team choices,,"Not sure what more it could do, it provides a list of open opportunities, a way to contact POC, a way to show and cancel interest as you progress. The only concern I had was not with the tool but with the data being up to date because things change so quickly.",,Use suggestions to have bootcamps explore teams they wouldn’t have before. Showing numbers will lead to an implicit ranking system when the interviewing process is already over.,
,I enjoyed the process and felt that it allowed me to explore my options without feeling pressured to select a team prematurely. ,,Profound info,,"When you inspect teams on the jobs tool, all the info is out of date. Current manager was out of date, what the teams are working on was out of date. It made it difficult to find just the right team I wanted, I had to just reachout to all the EMs in an area to get a feel for what they do.",
,"I feel like I made the right choice now, but back when I was making the choice I felt I didn't have enough information to make the best choice.",,Provided a easy way to search for open teams and manage reach-outs.,,"Would be great to have new listings filter to the top in jobs. Requiring up to date summaries in jobs would be nice as well. I think the idea of showing recommendations is good, but percent ranking would have discouraged me from taking risks that ended up turning out well for me. Also absolutely should not limit to five, getting to explore lots of teams that I didn't know existed until they reached out was crucial",
,I felt like I got a chance to figure out things that I liked and didn't like about teams.,,"Provided the needed information, would be great to show pulse scores for transparency",,,
,I found a team I like,,Provides multiple options,,,
,I found a team I like. ,,Reach-out tool and saved-teams tool are convenient to use. The number of openings for the teams are update to date.,,,
,"I get enough teams to review, and have good time to sit with different teams.",,Reachout was very effective.,,,
,I get options!,,"team info, reachouts",,Total,
,I get to explore a wide range of teams and people are very friendly.,,"The jobs tool could have a general overview of reachouts. For me, it doesn't make a lot of sense to have two tabs: one for sent and one for received. One single table with the status of the reach out would be better, like ""waiting for my response, waiting for their response, close, etc"".",,10,
,I got to explore many highly different opportunities and select one the one that I was most excited about.,,The jobs tool does a pretty good job of keeping things organized and more of the issues come up around teams not keeping their page updated. I would have like to have more area for notes on each team that are private to me as an option.,,2,
,"I got to explore working with different teams, and found a team/project that I was passionate working on.",,"The jobs tool is good for tracking reachouts to you. It's decent as searching through open positions. It's very bad at showing you info about existing teams, most of the info was out of date and useless.",,5,
,I got to find a team that I really liked,,The Jobs tool is very helpful to track which teams I am interested in.,,4,
,"I got to try a lot of different teams across different orgs, that gave me a brief idea about how the org works as well as the specific teams before committing to them. ",,The Jobs tool UI was simple and had everything I needed from it.,,7,
,I had a lot of choice and was given enough time to sit with multiple teams. I fee like I chose one that was a good fit for me,,the most of information are up-to-date. the PoC are responsively response my reach out,,4,
,I had all the resources i need to find the team and project that I am passionate about. ,,The outreaches were quite overwhelming,,,
,I had ample opportunity to ask relevant questions and meet several teams before choosing where I would land.,,"The reach outs functionality was nice, and it gave me a list of openings in teams that I could reach out to myself.",,,
,"I had chance to get to know different groups, and see the company culture in a general perspective. Even if my choice was determined in an initial selection, I can have less doubt for my choices.",,"The tool allowed me to track which teams had reached out, and easily respond to each one.",,,
,I had so many options and each manager gave me proper understanding about their team. I like time given to choose a team before joining. Sitting with them and learning about team and work is really helpful.,,The tool itself doesn't contain enough information to make an informed decision. The process is not and should not be dirven by a tool.,,,
,"I had the opportunity to try different teams and I was able to make a solid choice. As far as I can tell, this is unique to Facebook. It is also very good that the pressure is low during this process, meaning that it's not about closing tasks or making an impact, but really about finding the best team. ",,"The tool itself works fine and helps browse the available openings. The content itself varies in quality; some descriptions are really thorough, and some are almost worthless.",,,
,I have enough time to talk and meet different teams.,,The tool was great.,,,
,I have the chances talking to multiple teams.,,The tool works well. Although recommended jobs section can be improved,,,
,I joined the team where I loved the product and the mission.,,"The tools provides a lot of useful information, and easy to track.",,,
,I like the fact that I have about a week to see the team and the product and to get more signals before I make a decision,,"There are a lot of teams and positions listed and sometimes it can feel overwhelming, but it is definitely a good resource",,,
,I like the part where campers are allowed to actually sit with certain teams and work on actually projects that teams own,,There is a page that tracks all the reachouts. But the reachouts I sent to hiring mangers were not shown. I had to track them manually. Also the Jobs tool doesn't track which stage I am at with a particular team (engaged / chatted with HM/engineer/ sat with team / etc).,,,
,"I like the team I ended up on, but it was a slightly more difficult process than I had hoped",,There's no tool to track actual progress of team selection. Had to use Quip. Seems like this could be useful.,,,
,"I like the team I ended up with. At the same time, I was given time to explore other teams.",,tool was helpful ,,,
,I managed to find an excellent team for myself.,,transparency,,,
,"I really like that I get to choose which team to join. I believe having a good mentor through this process is crucial given the vast amount of teams reaching out to you, but if you know what you want and the mentor is good, the outcome is a happy and engaged employee.",,Very easy to track,,,
,"I think I ended up on a team that is a good match for my skills, background and career goals, and I like the people a lot.",,Very much,,,
,I tried out teams that I liked and didn't like and joined the best.,,Was a decently easy to use tool with plenty of information,,,
,"I was able to choose which teams to visit, to reach out to, and to accept invites from. It was a good experience. Furthermore, when I had a family tragedy in the middle of my bootcamp time, I was able to take the time off and stretch out my bootcamp time accordingly, there was not hard-and-fast deadline to leave bootcamp. Thanks for the great experience.",,You get a good idea of the team - the members missions tech stack etc,,,
,I was able to discover several teams and find the one that fits me the most,,,,,
,I was able to join a team doing work that's extremely interesting to me.,,,,,
,"I was able to pick the team I wanted to be on.  A mixed bag because it was significantly more overhead, but i think it did end up letting me be the happiest",,,,,
,I was able to select a team that aligned with my interests,,,,,
,I was able to spend however much time I wanted with the teams that fit my interests in order to see if I was a good fit. That enabled me to choose a team where I am currently happy with what I am doing and working with people whose company I enjoy.,,,,,
,"I was given a chance to see and explore all the teams at Facebook. I'm also grateful that this process exists, since most companies just preallocate you.",,,,,
,I was given ample time and support while making the selection.  The reason I am not extremely satisfied is I do not feel like I understood well enough how facebook works at the time to take full advantage of the information to make the best choice.,,,,,
,I was pre-allocated so N/A is probably a more appropriate response. I mostly didn't have to go through the process.,,,,,
,"It gave me the oppurtunity to meet different teams, understand how the different orgs in the company work together, access where I fit best, meet my potential teammates, do actual work with the team and ultimately, keep me responsible for where I decided I can contribute best.",,,,,
,It gave me time to discover different teams and to select one I like,,,,,
,It gave my the opportunity to choose a great team.,,,,,
,It gives me a lot of control of the selection.,,,,,
,It gives you a lot of options and a chance to evaluate different teams.,,,,,
,It helps me explore variety of different teams and had a chance to work with them.,,,,,
,It matches my expectation. ,,,,,
,it was a great experience. Never seen similar before and I found it a great way to find the best fit for noobs,,,,,
,"It was easy to follow, allowed me to look at a wide variety of teams and helped me find a good team to work with.",,,,,
,It was exactly as promised by the recruiter.,,,,,
,it was great,,,,,
,It was great to try out and meet teams before being able to make a final decision after having been hired by the company.,,,,,
,It was nice having time to be able to explore different projects at FB,,,,,
,it was transparent and clear ,,,,,
,It works and gives a lot of freedom,,,,,
,it's a good chance to talk with multiple teams and understand what's they're doing.,,,,,
,Jobs tools gave a very good insight into available teams and their responsibilities,,,,,
,"Lots of great teams, most people were very easy to reach out to and talk with",,,,,
,Lots of opportunities to sit with teams and perform *real* work.,,,,,
,Lots of options,,,,,
,Lots of teams reached out and I really enjoyed being able to choose!,,,,,
,Most managers I reached out to are very responsive and are willing to help bootcampers to learn more about their teams.,,,,,
,opportunities to meet the team members and know about multiple teams,,,,,
,"Opportunity to explore the org, try different teams and pick the right one (however from only small subset of teams that one has time to thoroughly talk to and sit with)",,,,,
,Opportunity to talk to and work with multiple teams across the company. Choice in area and team.,,,,,
,"Pretty wide choices, people are very approachable and nice to talk to.",,,,,
,Probably cause i have relatively low expectations.,,,,,
,"Process is flexible, and bootcampers have control",,,,,
,Really got to understand what teams are up to before making a choice.,,,,,
,Really great that we get to meet many teams and choose the one we are most passionate about.,,,,,
,Satisfied by the concept of it and it existing. It gave me the opportunity to genuinely try different teams.,,,,,
,Teams were open and interested with me sitting with them.,,,,,
,The control I had over which team to join.,,,,,
,The fact that bootcampers get to choose which team they can work for,,,,,
,The idea of working with several teams is amazing!!! getting to know the team and its way of work,,,,,
,"The job's tool had a good selection of teams I could choose, and my bootcamp mentor helped me on deciding which team was the best to my interests.",,,,,
,"the managers didn't push me to make a decision, my bootcamp mantor gave me a big support.",,,,,
,"Ultimately, it seems up to the bootcamper to take initiative during the process. I think that this point should be emphasized more, especially in week 2 and 3. I think bootcampers should reach out ASAP if they're interested in a team so that they can ensure headcount doesn't get filled before they get to sit with them.",,,,,
,was able to try out diffrent teams ,,,,,
,Was able to try out many good teams before picking one I'm very happy with.,,,,,
,"We can talk with team manager and members, sit with them to do some work.",,,,,
,We get to work on task to see the code and interact with team members and get a good gauge of the quality of the work !,,,,,
,We were given sufficient time to choose teams.,,,,,
,"Wide array of teams to choose from, possibility to explore all of FB: )",,,,,
,Wide variety of teams and very friendly people,,,,,
,Totals,,,,,
,,,,,,
,,,,,,
,,,,,,
,Total,,,,,
,20,,,,,
,65,,,,,
,4,,,,,
,2,,,,,
,11,,,,,
,37,,,,,
